"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160201","월","남","10대","서울특별시","종로구","치킨","8"
"20160201","월","남","60대이상","서울특별시","종로구","치킨","6"
"20160201","월","여","10대","서울특별시","종로구","치킨","5"
"20160201","월","여","60대이상","서울특별시","종로구","치킨","5"
"20160201","월","여","20대","서울특별시","종로구","치킨","29"
"20160201","월","남","50대","서울특별시","중구","치킨","16"
"20160201","월","여","50대","서울특별시","중구","치킨","23"
"20160201","월","남","30대","서울특별시","중구","치킨","62"
"20160201","월","남","40대","서울특별시","중구","치킨","31"
"20160201","월","여","20대","서울특별시","중구","치킨","45"
"20160201","월","여","40대","서울특별시","중구","치킨","53"
"20160201","월","남","20대","서울특별시","중구","치킨","62"
"20160201","월","여","10대","서울특별시","중구","치킨","8"
"20160201","월","여","60대이상","서울특별시","중구","치킨","8"
"20160201","월","남","10대","서울특별시","중구","치킨","7"
"20160201","월","남","60대이상","서울특별시","중구","치킨","9"
"20160201","월","여","30대","서울특별시","중구","치킨","48"
"20160201","월","남","40대","서울특별시","중랑구","치킨","25"
"20160201","월","여","40대","서울특별시","중랑구","치킨","60"
"20160201","월","여","20대","서울특별시","중랑구","치킨","43"
"20160201","월","남","50대","서울특별시","중랑구","치킨","26"
"20160201","월","남","30대","서울특별시","중랑구","치킨","42"
"20160201","월","여","50대","서울특별시","중랑구","치킨","29"
"20160201","월","여","30대","서울특별시","중랑구","치킨","51"
"20160201","월","남","60대이상","서울특별시","중랑구","치킨","5"
"20160201","월","남","10대","서울특별시","중랑구","치킨","20"
"20160201","월","여","60대이상","서울특별시","중랑구","치킨","7"
"20160201","월","여","10대","서울특별시","중랑구","치킨","5"
"20160201","월","남","20대","서울특별시","중랑구","치킨","54"
"20160202","화","남","10대","서울특별시","강남구","치킨","53"
"20160202","화","남","60대이상","서울특별시","강남구","치킨","19"
"20160202","화","여","30대","서울특별시","강남구","치킨","193"
"20160202","화","여","40대","서울특별시","강남구","치킨","194"
"20160202","화","여","10대","서울특별시","강남구","치킨","40"
"20160202","화","남","40대","서울특별시","강남구","치킨","93"
"20160202","화","여","60대이상","서울특별시","강남구","치킨","22"
"20160202","화","여","20대","서울특별시","강남구","치킨","131"
"20160202","화","남","20대","서울특별시","강남구","치킨","139"
"20160202","화","남","50대","서울특별시","강남구","치킨","38"
"20160202","화","여","50대","서울특별시","강남구","치킨","76"
"20160202","화","남","30대","서울특별시","강남구","치킨","141"
