측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170112	도봉구	0.026	0.02	0.4	0.005	29	14
20170112	성동구	0.026	0.018	0.4	0.004	29	15
20170112	강북구	0.022	0.024	0.5	0.004	21	14
20170112	노원구	0.031	0.018	0.6	0.004	25	15
20170112	양천구	0.029	0.012	0.5	0.005	31	16
20170111	강남구	0.029	0.014	0.4	0.004	25	11
20170111	용산구	0.029	0.013	0.4	0.004	22	13
20170111	홍릉로	0.04	0.013	0.7	0.007	25	
20170111	중구	0.032	0.015	0.3	0.004	24	14
20170111	공항대로	0.047	0.01	0.5	0.006	41	
20170111	종로구	0.03	0.016	0.4	0.004	22	11
20170111	관악구	0.037	0.015	0.5	0.007	26	19
20170111	중랑구	0.031	0.014	0.4	0.005	27	11
20170111	성북구	0.032	0.013	0.4	0.004	26	11
20170111	송파구	0.026	0.019	0.4	0.004	24	10
20170111	마포구	0.034	0.014	0.5	0.004	27	16
20170111	서대문구	0.025	0.018	0.5	0.006	25	12
20170111	신촌로	0.047	0.007	0.9	0.007	28	
20170111	화랑로	0.035	0.012	0.5	0.006	32	
20170111	노원구	0.029	0.018	0.5	0.004	19	8
20170111	성동구	0.033	0.013	0.4	0.004	25	11
20170111	영등포구	0.021	0.014	0.7	0.005	27	13
20170111	도봉구	0.022	0.021	0.5	0.005	24	10
20170111	영등포로	0.076	0.01	0.5	0.007	33	17
20170111	강변북로	0.063	0.009	0.5	0.003	36	
20170111	강남대로	0.077	0.01	0.7	0.006	37	14
20170111	금천구	0.034	0.015	0.5	0.005	23	15
20170111	양천구	0.031	0.009	0.5	0.005	23	11
20170111	한강대로	0.041	0.012	0.5	0.006	35	13
20170111	광진구	0.03	0.019	0.5	0.005	25	10
20170111	청계천로	0.037	0.012	0.5	0.005	22	
20170111	구로구	0.023	0.013	0.2	0.006	25	12
20170111	종로	0.031	0.015	0.3	0.004	21	15
20170111	강서구	0.032	0.015	0.4	0.006	28	12
20170111	은평구	0.018	0.01	0.7	0.002	26	13
20170111	동작대로	0.051	0.012	0.6	0.006	39	21
20170111	강동구	0.032	0.014	0.5	0.004	27	12
20170111	동작구	0.03	0.017	0.4	0.004	22	14
20170111	정릉로	0.028	0.016	0.5	0.006	31	12
20170111	동대문구	0.028	0.015	0.6	0.005	24	11
20170111	강북구	0.022	0.022	0.4	0.004	17	10
20170111	도산대로	0.028	0.011	0.7	0.005	26	
20170111	천호대로	0.043	0.011	0.3	0.005	27	14
20170111	서초구	0.03	0.018	0.4	0.005	25	10
20170110	한강대로	0.033	0.017	0.4	0.005	43	18
20170110	도산대로	0.022	0.016	0.6	0.005	32	
20170110	송파구	0.018	0.027	0.4	0.005	30	13
20170110	강북구	0.011	0.032	0.4	0.004	24	14
20170110	노원구	0.019	0.027	0.4	0.004	28	15
20170110	양천구	0.022	0.016	0.5	0.005	31	15
20170110	정릉로	0.021	0.022	0.5	0.005	41	15
20170110	금천구	0.025	0.022	0.5	0.005	30	17
20170110	동작구	0.021	0.024	0.4	0.004	29	17
20170110	관악구	0.026	0.022	0.4	0.006	31	19
20170110	홍릉로	0.035	0.018	0.7	0.007	31	
