title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
몬스터 호텔,2013-01-17,3476763500,497550,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,884885,6080221500
더 임파서블,2013-01-17,3170490500,443800,스페인,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션/어드벤쳐,625192,4460167500
잭 리처,2013-01-17,4314962500,587781,미국,파라마운트 픽쳐스,씨제이이앤엠 주식회사,15세이상관람가,액션/어드벤쳐,784031,5758577000
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,3026228000,401213,한국,"(주)오콘,중국오락문화투자유한회사",씨제이이앤엠 주식회사,전체관람가,애니메이션,930092,6820434500
7번방의 선물,2013-01-23,16811391702,2337551,한국,"㈜화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,코미디,12810776,91429295670
명탐정 코난:은빛 날개의 마술사,2013-01-24,798331000,121743,일본,,씨제이이앤엠 주식회사,전체관람가,애니메이션,176495,1158761500
베를린,2013-01-30,19402927121,2658729,한국,"(주)외유내강,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,액션/어드벤쳐,7166268,52355408637
다이하드: 굿 데이 투 다이,2013-02-06,7542574000,985059,미국,,이십세기폭스코리아(주),15세이상관람가,액션/어드벤쳐,1437956,10825107000
남쪽으로 튀어,2013-02-06,4571422000,630869,한국,"(주)영화사거미,필름트레인",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,832894,5970851500
눈의 여왕,2013-02-07,1243344000,182374,러시아,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,276911,1846221000
실버라이닝 플레이북,2013-02-14,708268000,95736,미국,,(주)나이너스엔터테인먼트,청소년관람불가,멜로/로맨스,126806,947336500
헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,1915482500,241693,미국,,씨제이이앤엠 주식회사,청소년관람불가,액션/어드벤쳐,269510,2122205602
해양경찰 마르코,2013-02-14,841306500,132388,덴마크,,(주)인벤트스톤,전체관람가,액션/어드벤쳐,181740,1151907000
남자사용설명서,2013-02-14,2752831257,385387,한국,(주)영화사소풍,쇼박스㈜미디어플렉스,15세이상관람가,코미디,507904,3606602257
신세계,2013-02-21,11238899755,1512641,한국,"(주)사나이픽처스,페퍼민트앤컴퍼니,(주)기안컬처테인먼트,(주)파트너스케이",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,미스터리/범죄,4682418,34880882905
분노의 윤리학,2013-02-21,1412787500,192570,한국,"(주)티피에스컴퍼니,㈜사람엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러/공포,225618,1658653000
더 자이언트,2013-02-21,664999000,106290,미국,,(주)마인스 엔터테인먼트,전체관람가,애니메이션,157986,996636000
빌리와 용감한 녀석들 2,2013-02-21,1148863500,177945,인도,,(주)에스비에스콘텐츠허브,전체관람가,애니메이션,306837,2006325000
차이니즈 조디악,2013-02-27,1676440500,239560,중국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션/어드벤쳐,315305,2211711500
스토커,2013-02-28,2224933674,297926,미국,,이십세기폭스코리아(주),청소년관람불가,드라마,378874,2829265174
잭 더 자이언트 킬러,2013-02-28,5697810500,725321,미국,,워너브러더스코리아(주),12세이상관람가,기타,956145,7376426000
사이코메트리,2013-03-07,2904107095,389566,한국,"(주)미라클필름,(주)파워이엔티,㈜게이트픽쳐스",씨제이이앤엠 주식회사,청소년관람불가,미스터리/범죄,534273,3978495129
제로 다크 서티,2013-03-07,669089000,93904,미국,,(주)에스비에스콘텐츠허브,15세이상관람가,액션/어드벤쳐,108991,780080000
오즈 그레이트 앤드 파워풀,2013-03-07,2168746000,262698,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,기타,350561,2886173000
링컨,2013-03-14,655964000,94500,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,137505,954242500
파파로티,2013-03-14,4296550000,612782,한국,케이엠컬쳐㈜,쇼박스㈜미디어플렉스,15세이상관람가,드라마,1716429,11825934000
웜 바디스,2013-03-14,4579746124,635810,미국,,씨제이이앤엠 주식회사,15세이상관람가,멜로/로맨스,1169839,8361708124
안나 카레니나,2013-03-21,616126000,90930,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,144499,991240500
지슬 - 끝나지 않은 세월2,2013-03-21,299130100,42321,한국,"자파리필름,설문대영상",(주)영화사 진진,15세이상관람가,드라마,143765,986349100
연애의 온도,2013-03-21,6376719207,868233,한국,(주)뱅가드스튜디오,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,멜로/로맨스,1865195,13798864446
장고:분노의 추적자,2013-03-21,1360557500,188995,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년관람불가,기타,260144,1883634000
지.아이.조 2,2013-03-28,8374675500,1054226,미국,파라마운트 픽쳐스,씨제이이앤엠 주식회사,15세이상관람가,액션/어드벤쳐,1855917,14457048500
런닝맨,2013-04-04,5375037500,750063,한국,"(주)크리픽쳐스,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,액션/어드벤쳐,1422844,10060239500
전설의 주먹,2013-04-10,5875641500,800318,한국,(주)시네마서비스,씨제이이앤엠 주식회사,청소년관람불가,드라마,1744585,12777314500
오블리비언,2013-04-11,5912695000,799327,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션/어드벤쳐,1515356,11165841500
노리개,2013-04-18,1021695000,139863,한국,(주)마운틴픽쳐스,(주)인벤트스톤,청소년관람불가,드라마,169064,1229614500
로마 위드 러브,2013-04-18,624945290,85428,미국,,(주)나이너스엔터테인먼트,청소년관람불가,코미디,180708,1324142801
송 포 유,2013-04-18,959499000,136961,영국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디,217194,1484853000
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,2013-04-25,598077500,91498,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,217320,1430168500
아이언맨 3,2013-04-25,30646058000,3783641,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,액션/어드벤쳐,9001312,70806211000
전국노래자랑,2013-05-01,3714900500,536980,한국,(주)인앤인픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,코미디,978413,6687636000
고령화 가족,2013-05-09,5047407116,706223,한국,(주)인벤트스톤,씨제이이앤엠 주식회사,15세이상관람가,드라마,1141222,8169492153
미나문방구,2013-05-16,1706998000,251374,한국,(주)별의별,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,드라마,334323,2247017000
위대한 개츠비,2013-05-16,5746430643,774918,미국,,워너브러더스코리아(주),15세이상관람가,드라마,1445124,10580582143
몽타주,2013-05-16,6270305500,872527,한국,(주)미인픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러/공포,2095592,15002458500
크루즈 패밀리,2013-05-16,2959028000,412025,미국,,씨제이이앤엠 주식회사,전체관람가,애니메이션,941615,6540060500
비포 미드나잇,2013-05-22,641935000,88827,미국,,(주)팝엔터테인먼트,청소년관람불가,드라마,203335,1484527500
분노의 질주: 더 맥시멈,2013-05-22,7391766542,991851,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션/어드벤쳐,1790368,13202991042
애프터 어스,2013-05-30,3263067667,456927,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,액션/어드벤쳐,537920,3831856167
스타트렉 다크니스,2013-05-30,6813277000,834215,미국,파라마운트 픽쳐스,씨제이이앤엠 주식회사,12세이상관람가,액션/어드벤쳐,1605279,12964932000
무서운 이야기 2,2013-06-05,2590812000,379117,한국,"(주)수필름,(주)데이지엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,미스터리/범죄,495522,3393667500
