custid	gender	age	marriage	residence	job
30026	여	39	미혼	Gangnam-gu	개인사업
30112	여	39	기혼	Gangnam-gu	건설업
30193	여	40	기혼	Gangdong-gu	개인사업
30267	남	40	미혼	Eunpyeong-gu	금융기관
30356	여	40	기혼	Gangnam-gu	제조업
30424	남	40	기혼	Gwangjin-gu	그룹사
30501	여	40	기혼	Seongdong-gu	개인사업
30570	여	40	미혼	Gangnam-gu	개인사업
30648	남	40	기혼	Seocho-gu	전문직
30718	남	40	기혼	Yangcheon-gu	개인사업
30800	여	40	미혼	Mapo-gu	개인사업
30865	여	41	기혼	Seodaemun-gu	의료기관
30928	여	40	기혼	Jungnang-gu	개인사업
31014	여	40	기혼	Jongno-gu	금융기관
31090	남	40	기혼	Gangnam-gu	제조업
31161	남	40	기혼	Songpa-gu	제조업
31244	여	41	기혼	Gangnam-gu	공무원
31317	여	41	기혼	Seodaemun-gu	공무원
31388	여	41	기혼	Yangcheon-gu	제조업
31456	남	41	기혼	Seocho-gu	의료기관
31531	남	41	미혼	Gangnam-gu	공무원
31600	남	41	기혼	Gangseo-gu	전문직
31685	남	41	기혼	Mapo-gu	개인사업
31771	여	41	기혼	Eunpyeong-gu	공공기관
31854	여	41	기혼	Mapo-gu	개인사업
31926	남	41	기혼	Seodaemun-gu	공공기관
32004	여	42	미혼	Gangnam-gu	개인사업
32082	여	41	기혼	Gangnam-gu	건설업
32155	여	41	기혼	Gangnam-gu	개인사업
32232	남	41	기혼	Gwangjin-gu	개인사업
32304	남	42	기혼	Gangdong-gu	교육기관
32382	남	42	기혼	Seocho-gu	그룹사
32446	남	42	기혼	Gangnam-gu	그룹사
32537	여	42	기혼	Eunpyeong-gu	개인사업
32609	여	42	기혼	Seodaemun-gu	개인사업
32687	여	41	기혼	Mapo-gu	정보서비스
32767	여	42	기혼	Gangdong-gu	개인사업
32845	남	42	기혼	Gangnam-gu	제조업
32923	여	42	기혼	Gwangjin-gu	개인사업
33010	남	42	기혼	Nowon-gu	개인사업
33107	여	42	기혼	Gangdong-gu	개인사업
33175	여	42	기혼	Gangnam-gu	개인사업
33276	남	43	기혼	Yangcheon-gu	공무원
33358	남	36	기혼	Seodaemun-gu	교육기관
33442	여	43	기혼	Gangdong-gu	제조업
33514	여	43	기혼	Gangnam-gu	개인사업
33591	남	43	기혼	Dongjak-gu	개인사업
33670	남	43	기혼	Seocho-gu	제조업
33751	여	43	기혼	Gangdong-gu	개인사업
33829	여	43	미혼	Jungnang-gu	건설업
33904	남	43	기혼	Yangcheon-gu	개인사업
33974	여	43	미혼	Seocho-gu	개인사업
34052	남	43	기혼	Gangdong-gu	개인사업
34135	여	43	미혼	Yongsan-gu	제조업
34211	여	43	기혼	Gangnam-gu	교육기관
34294	여	44	기혼	Yeongdeungpo-gu	교육기관
34375	여	44	기혼	Eunpyeong-gu	공무원
34455	여	44	기혼	Yangcheon-gu	개인사업
34534	여	44	기혼	Gangdong-gu	개인사업
34604	남	44	미혼	Gwangjin-gu	건설업
34686	여	44	기혼	Gangnam-gu	의료기관
34761	여	45	기혼	Seocho-gu	개인사업
34835	여	44	기혼	Gangnam-gu	개인사업
34904	여	44	기혼	Seocho-gu	개인사업
34983	여	44	기혼	Songpa-gu	개인사업
35073	여	44	기혼	Mapo-gu	교육기관
35148	여	44	기혼	Seocho-gu	개인사업
35221	여	44	미혼	Yangcheon-gu	개인사업
35298	여	44	기혼	Gwangjin-gu	개인사업
35387	여	45	기혼	Gwangjin-gu	개인사업
35457	여	45	기혼	Seocho-gu	공공기관
35540	남	45	기혼	Seocho-gu	제조업
35612	여	46	기혼	Gangdong-gu	개인사업
35681	남	45	기혼	Seodaemun-gu	개인사업
35759	남	45	기혼	Gangnam-gu	교육기관
35832	여	45	기혼	Gangnam-gu	제조업
35904	여	45	기혼	Gwangjin-gu	개인사업
36000	여	45	기혼	Seocho-gu	제조업
36087	여	45	기혼	Gangnam-gu	의료기관
36175	여	45	기혼	Gangnam-gu	제조업
36253	여	45	기혼	Songpa-gu	제조업
36327	여	46	기혼	Gangnam-gu	개인사업
36399	여	46	기혼	Dongdaemun-gu	개인사업
36487	여	46	미혼	Gangnam-gu	교육기관
36563	남	46	기혼	Nowon-gu	교육기관
36644	여	46	기혼	Gangnam-gu	개인사업
36741	여	46	기혼	Yongsan-gu	정보서비스
36829	여	46	기혼	Dongjak-gu	개인사업
36914	남	46	기혼	Mapo-gu	제조업
36999	여	46	기혼	Gangseo-gu	개인사업
37086	여	46	기혼	Gangdong-gu	교육기관
37179	여	46	기혼	Gangdong-gu	개인사업
37256	여	47	기혼	Seongdong-gu	개인사업
37340	남	46	기혼	Gwangjin-gu	개인사업
37423	여	47	기혼	Gangdong-gu	개인사업
37503	여	47	기혼	Seocho-gu	의료기관
37591	남	47	기혼	Seocho-gu	교육기관
37669	남	47	기혼	Gangnam-gu	개인사업
37768	여	47	기혼	Gwanak-gu	개인사업
37859	여	47	기혼	Yangcheon-gu	개인사업
37939	남	47	기혼	Gangnam-gu	제조업
38013	여	47	기혼	Seocho-gu	교육기관
38092	남	47	기혼	Gangnam-gu	개인사업
38173	여	47	기혼	Mapo-gu	개인사업
38247	여	47	기혼	Jung-gu	개인사업
38328	여	47	기혼	Eunpyeong-gu	개인사업
38405	여	48	기혼	Gangdong-gu	운송서비스
38497	여	48	기혼	Songpa-gu	공공기관
38586	여	48	기혼	Gangdong-gu	개인사업
38663	여	48	기혼	Gangdong-gu	개인사업
38747	여	48	기혼	Seodaemun-gu	개인사업
