category,date,href,number,president,sub_category,title
과학기술/정보,2008.04.29,?spMode=view&catid=c_pa02062&artid=1310163,781,이명박,기념사,월드사이언스포럼 2008 개막식 축사
문화/체육/관광,2008.04.29,?spMode=view&catid=c_pa02062&artid=1310164,780,이명박,기념사,제35회 윤봉길 문화축제축사
교육,2008.05.05,?spMode=view&catid=c_pa02062&artid=1310165,779,이명박,기념사,제86회 어린이날 기념행사 축사
교육,2008.05.05,?spMode=view&catid=c_pa02062&artid=1310166,778,이명박,기념사,"KBS 특별생방송 어린이날의 약속, 우리가 지켜줄게 영상메시지"
문화/체육/관광,2008.05.06,?spMode=view&catid=c_pa02062&artid=1310167,777,이명박,기념사,SBS 서울디지털포럼 개막식 축사
산업/경제,2008.05.07,?spMode=view&catid=c_pa02062&artid=1310168,776,이명박,치사,현대중공업 군산조선소 기공식 격려사
문화/체육/관광,2008.05.12,?spMode=view&catid=c_pa02062&artid=1310169,775,이명박,기념사,제28차 국제출판협회(IPA) 서울총회 개회식 축사
기타,2008.05.12,?spMode=view&catid=c_pa02062&artid=1310170,774,이명박,기념사,불기 2552년 부처님 오신 날 봉축 메시지
산업/경제,2008.05.13,?spMode=view&catid=c_pa02062&artid=1310171,773,이명박,치사,전국 중소기업인대회 격려사
교육,2008.05.15,?spMode=view&catid=c_pa02062&artid=1310172,772,이명박,치사,스승의 날을 맞아 선생님께 드리는 편지
기타,2008.05.15,?spMode=view&catid=c_pa02062&artid=1310174,771,이명박,만찬사,제40회 국가조찬기도회 축사
외교/통상,2008.05.15,?spMode=view&catid=c_pa02062&artid=1310173,770,이명박,기타,제40회 한·일 경제인회의 축사
정치/사회,2008.05.18,?spMode=view&catid=c_pa02062&artid=1310175,769,이명박,기념사,제28주년 5·18민주화운동 기념사
정치/사회,,?spMode=view&catid=c_pa02062&artid=1329904,768,이명박,치사,2008 가정의 달 기념행사 축사
문화/체육/관광,2008.05.19,?spMode=view&catid=c_pa02062&artid=1310177,767,이명박,치사,2013 하계 유니버시아드대회 유치 관련 집행위원들에게 보내는 친서
기타,2008.05.19,?spMode=view&catid=c_pa02062&artid=1310176,766,이명박,기념사,2008년 가정의 달 기념행사 축사
산업/경제,2008.05.21,?spMode=view&catid=c_pa02062&artid=1310178,765,이명박,치사,대구 성서 5차 첨단산업단지 기공식 격려사
정치/사회,2008.05.22,?spMode=view&catid=c_pa02062&artid=1310179,764,이명박,성명/담화문,국민에게 드리는 말씀
외교/통상,2008.05.22,?spMode=view&catid=c_pa02062&artid=1310180,763,이명박,치사,한국전 미국·터키 참전 용사 초청 만찬 축하 메시지
외교/통상,2008.05.23,?spMode=view&catid=c_pa02062&artid=1310181,762,이명박,기념사,미합중국 전몰장병 추모일을 맞아 주한 미군장병에게 보내는메시지
문화/체육/관광,2008.05.23,?spMode=view&catid=c_pa02062&artid=1310182,761,이명박,치사,2008 전국 국민생활체육대축전 축사
외교/통상,2008.05.25,?spMode=view&catid=c_pa02062&artid=1310183,760,이명박,만찬사,한·아랍 소사이어티 창설 기념 만찬사
외교/통상,2008.05.28,?spMode=view&catid=c_pa02062&artid=1310184,759,이명박,만찬사,[중국 방문]재중 한국인 초청 리셉션 연설
외교/통상,2008.05.28,?spMode=view&catid=c_pa02062&artid=1310185,758,이명박,성명/담화문,[중국 방문]한·중 경제인 초청 오찬사
외교/통상,2008.05.29,?spMode=view&catid=c_pa02062&artid=1310186,757,이명박,성명/담화문,[중국 방문]베이징대학 방문연설
외교/통상,2008.05.29,?spMode=view&catid=c_pa02062&artid=1310187,756,이명박,만찬사,[중국 방문]산둥성 진출 기업인 초청 리셉션 연설
산업/경제,2008.05.30,?spMode=view&catid=c_pa02062&artid=1310188,755,이명박,기념사,제13회 바다의 날 기념식 축사
문화/체육/관광,2008.06.03,?spMode=view&catid=c_pa02062&artid=1310189,754,이명박,치사,6·3 동지회 창립 44주년기념회보 발간 축하 메시지
외교/통상,2008.06.05,?spMode=view&catid=c_pa02062&artid=1310190,753,이명박,기념사,한·핀란드 정상 오찬사
국정전반,2008.06.06,?spMode=view&catid=c_pa02062&artid=1310191,752,이명박,기념사,제53회 현충일 추념사
정치/사회,2008.06.10,?spMode=view&catid=c_pa02062&artid=1310192,751,이명박,기념사,제21주년 6·10 민주항쟁 기념사
산업/경제,2008.06.16,?spMode=view&catid=c_pa02062&artid=1310193,750,이명박,환영사,제8차 ASEM 재무장관회의 환영사
산업/경제,2008.06.17,?spMode=view&catid=c_pa02062&artid=1310194,749,이명박,환영사,인터넷 경제의 미래'에 관한 OECD 장관회의 개회식 환영사
정치/사회,2008.06.19,?spMode=view&catid=c_pa02062&artid=1310195,748,이명박,성명/담화문,특별 기자회견
국방,2008.06.20,?spMode=view&catid=c_pa02062&artid=1310196,747,이명박,치사,병역 이행 명문가 시상식 축사
산업/경제,2008.06.20,?spMode=view&catid=c_pa02062&artid=1310198,746,이명박,치사,인천국제공항 2단계 확장공사 준공식 격려사
산업/경제,2008.06.20,?spMode=view&catid=c_pa02062&artid=1310197,745,이명박,치사,인천타워 및 랜드마크 시티 기공식 격려사
과학기술/정보,2008.06.21,?spMode=view&catid=c_pa02062&artid=1310200,744,이명박,치사,세종기지 대원에게 보내는 2008 남극 동지 격려메시지
문화/체육/관광,2008.06.21,?spMode=view&catid=c_pa02062&artid=1310201,743,이명박,기념사,매헌 윤봉길의사 탄신 100주년 기념식 축사
