"","Accur","Param","Sub","Cnt"
"104",0.699404612998449,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, FALSE",40
"105",0.699404612998449,"    main_store","TRUE, TRUE, FALSE",40
"106",0.706409165957873,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, TRUE",0
"107",0.706409165957873,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, TRUE",0
"108",0.706409165957873,"    main_store","TRUE, TRUE, TRUE",0
"109",0.703207084604993,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, TRUE",10
"110",0.703207084604993,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, TRUE",10
"111",0.703207084604993,"    main_store","TRUE, TRUE, TRUE",10
"112",0.702756791914745,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, TRUE",20
"113",0.702756791914745,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, TRUE",20
"114",0.702756791914745,"    main_store","TRUE, TRUE, TRUE",20
"115",0.705208385450543,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, TRUE",30
"116",0.705208385450543,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, TRUE",30
"117",0.705208385450543,"    main_store","TRUE, TRUE, TRUE",30
"118",0.698053734927703,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, TRUE",40
"119",0.698053734927703,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, TRUE",40
"120",0.698053734927703,"    main_store","TRUE, TRUE, TRUE",40
