ID	MONEY	VISIT	CROSS	API
797	182950	5	2	37
798	124800	2	3	15
799	1196640	20	13	7
800	39320	2	1	0
801	2067410	63	17	4
802	46900	5	2	86
803	718290	24	12	17
804	115500	4	2	56
805	554400	15	3	8
806	58500	2	1	3
807	314970	9	4	21
808	18200	2	2	3
809	38170	2	1	44
810	3041910	94	19	2
811	32500	4	1	66
812	378800	4	5	7
813	1674300	27	15	3
814	888510	26	2	13
815	107720	10	2	53
816	1037570	25	11	8
817	180310	12	4	31
818	887780	19	9	12
819	1886800	29	7	11
820	340200	2	6	20
821	346500	2	1	1
822	179890	9	2	27
823	531050	18	5	20
824	139120	8	1	12
825	72070	3	1	81
826	1261240	27	10	10
827	270820	14	5	21
828	379720	6	4	16
829	66600	3	1	82
830	827150	44	10	8
831	82700	3	1	77
832	123700	7	3	39
833	1195570	32	14	6
834	1241050	12	8	8
835	1896720	46	18	3
836	115230	4	1	2
837	863510	15	11	13
838	286750	6	3	44
839	1492000	27	14	4
840	949510	18	12	7
841	42740	5	1	119
842	452760	12	7	17
843	1256710	30	8	12
844	121700	2	2	0
845	170770	7	1	13
846	61700	2	1	39
847	89230	3	3	31
848	111170	3	2	66
849	1188490	26	8	8
850	22000	2	1	83
851	184900	6	1	67
852	69800	2	1	9
853	74800	2	1	33
854	4007810	95	21	2
855	521760	9	5	25
856	255360	8	6	29
857	314710	11	4	32
858	76500	3	1	130
859	970080	42	11	6
860	535230	10	4	30
861	314730	16	7	21
862	11945170	60	20	1
863	312060	2	4	1
864	129800	2	1	18
865	186070	7	4	46
866	284500	6	6	21
867	135840	4	5	24
868	2044930	84	14	4
869	441750	12	7	13
870	92670	4	2	24
871	82000	3	2	14
872	248450	3	3	21
873	199280	9	4	40
874	302030	10	5	8
875	1519080	23	8	15
876	1239800	14	5	13
877	7597000	190	23	1
878	117000	5	3	94
879	119580	8	2	30
880	572800	9	5	17
881	218310	7	3	11
882	97700	6	1	90
883	349500	13	4	20
884	127470	4	2	7
885	166900	11	3	26
886	1219880	41	13	3
887	52460	2	1	6
888	426160	14	8	18
889	49300	2	1	88
890	2074970	24	9	4
