"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20161123","수","남","60대이상","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","남","20대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","남","40대","서울특별시","중랑구","묵동","치킨","6"
"20161123","수","여","30대","서울특별시","중랑구","면목동","치킨","75"
"20161123","수","남","30대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","남","40대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","남","40대","서울특별시","중랑구","면목동","치킨","24"
"20161123","수","여","40대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","여","30대","서울특별시","중랑구","신내동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","신사동","치킨","5"
"20161124","목","남","40대","서울특별시","강남구","논현동","치킨","16"
"20161124","목","여","50대","서울특별시","강남구","대치동","치킨","10"
"20161124","목","여","40대","서울특별시","강남구","삼성동","치킨","69"
"20161124","목","여","60대이상","서울특별시","강남구","대치동","치킨","5"
"20161124","목","여","30대","서울특별시","강남구","논현동","치킨","24"
"20161124","목","남","30대","서울특별시","강남구","삼성동","치킨","42"
"20161124","목","남","30대","서울특별시","강남구","신사동","치킨","5"
"20161124","목","여","20대","서울특별시","강남구","대치동","치킨","5"
"20161124","목","남","40대","서울특별시","강남구","청담동","치킨","5"
"20161124","목","여","50대","서울특별시","강남구","세곡동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","개포동","치킨","23"
"20161124","목","남","40대","서울특별시","강남구","도곡동","치킨","8"
"20161124","목","여","60대이상","서울특별시","강남구","세곡동","치킨","5"
"20161124","목","남","40대","서울특별시","강남구","역삼동","치킨","35"
"20161124","목","남","20대","서울특별시","강남구","수서동","치킨","5"
"20161124","목","남","40대","서울특별시","강남구","일원동","치킨","5"
"20161124","목","남","50대","서울특별시","강남구","수서동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","개포동","치킨","8"
"20161124","목","여","20대","서울특별시","강남구","세곡동","치킨","5"
"20161124","목","여","30대","서울특별시","강남구","일원동","치킨","5"
"20161124","목","남","10대","서울특별시","강남구","대치동","치킨","8"
"20161124","목","여","30대","서울특별시","강남구","역삼동","치킨","59"
"20161124","목","여","30대","서울특별시","강남구","도곡동","치킨","8"
"20161124","목","남","40대","서울특별시","강남구","개포동","치킨","8"
"20161124","목","여","20대","서울특별시","강남구","수서동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","도곡동","치킨","20"
"20161124","목","여","40대","서울특별시","강남구","일원동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","역삼동","치킨","33"
"20161124","목","여","30대","서울특별시","강남구","개포동","치킨","12"
"20161124","목","남","30대","서울특별시","강남구","청담동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","일원동","치킨","5"
"20161124","목","여","10대","서울특별시","강남구","대치동","치킨","5"
"20161124","목","여","60대이상","서울특별시","강남구","수서동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20161124","목","남","20대","서울특별시","강남구","세곡동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","역삼동","치킨","68"
"20161124","목","남","40대","서울특별시","강남구","신사동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","논현동","치킨","29"
"20161124","목","남","40대","서울특별시","강남구","삼성동","치킨","36"
"20161124","목","남","50대","서울특별시","강남구","대치동","치킨","5"
"20161124","목","남","60대이상","서울특별시","강남구","대치동","치킨","5"
"20161124","목","여","30대","서울특별시","강남구","신사동","치킨","8"
"20161124","목","남","30대","서울특별시","강남구","논현동","치킨","26"
"20161124","목","여","30대","서울특별시","강남구","삼성동","치킨","49"
"20161124","목","남","20대","서울특별시","강남구","대치동","치킨","5"
"20161124","목","여","10대","서울특별시","강남구","역삼동","치킨","6"
"20161124","목","여","10대","서울특별시","강남구","도곡동","치킨","5"
"20161124","목","여","10대","서울특별시","강남구","일원동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","대치동","치킨","5"
"20161124","목","여","20대","서울특별시","강남구","삼성동","치킨","22"
"20161124","목","여","20대","서울특별시","강남구","신사동","치킨","7"
"20161124","목","남","20대","서울특별시","강남구","논현동","치킨","19"
"20161124","목","남","10대","서울특별시","강남구","개포동","치킨","5"
"20161124","목","여","50대","서울특별시","강남구","삼성동","치킨","14"
"20161124","목","남","50대","서울특별시","강남구","논현동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","대치동","치킨","20"
"20161124","목","여","60대이상","서울특별시","강남구","삼성동","치킨","7"
"20161124","목","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20161124","목","여","60대이상","서울특별시","강남구","신사동","치킨","5"
"20161124","목","남","40대","서울특별시","강남구","수서동","치킨","5"
"20161124","목","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20161124","목","남","20대","서울특별시","강남구","일원동","치킨","7"
"20161124","목","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20161124","목","남","20대","서울특별시","강남구","역삼동","치킨","55"
"20161124","목","남","10대","서울특별시","강남구","삼성동","치킨","10"
"20161124","목","여","20대","서울특별시","강남구","개포동","치킨","9"
"20161124","목","여","10대","서울특별시","강남구","논현동","치킨","8"
"20161124","목","여","30대","서울특별시","강남구","수서동","치킨","5"
"20161124","목","여","40대","서울특별시","강남구","세곡동","치킨","6"
