"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160301","화","여","50대","서울특별시","서초구","치킨","71"
"20160301","화","남","30대","서울특별시","서초구","치킨","159"
"20160301","화","여","40대","서울특별시","성동구","치킨","38"
"20160301","화","남","40대","서울특별시","성동구","치킨","50"
"20160301","화","남","20대","서울특별시","성동구","치킨","40"
"20160301","화","여","50대","서울특별시","성동구","치킨","20"
"20160301","화","여","30대","서울특별시","성동구","치킨","55"
"20160301","화","남","50대","서울특별시","성동구","치킨","17"
"20160301","화","남","30대","서울특별시","성동구","치킨","82"
"20160301","화","남","10대","서울특별시","성동구","치킨","5"
"20160301","화","남","60대이상","서울특별시","성동구","치킨","5"
"20160301","화","여","10대","서울특별시","성동구","치킨","5"
"20160301","화","여","60대이상","서울특별시","성동구","치킨","8"
"20160301","화","여","20대","서울특별시","성동구","치킨","41"
"20160301","화","남","10대","서울특별시","성북구","치킨","34"
"20160301","화","남","60대이상","서울특별시","성북구","치킨","8"
"20160301","화","남","20대","서울특별시","성북구","치킨","88"
"20160301","화","여","50대","서울특별시","성북구","치킨","28"
"20160301","화","여","10대","서울특별시","성북구","치킨","20"
"20160301","화","남","50대","서울특별시","성북구","치킨","16"
"20160301","화","여","60대이상","서울특별시","성북구","치킨","24"
"20160301","화","남","30대","서울특별시","성북구","치킨","81"
"20160301","화","여","30대","서울특별시","성북구","치킨","72"
"20160301","화","남","40대","서울특별시","성북구","치킨","65"
"20160301","화","여","40대","서울특별시","성북구","치킨","90"
"20160301","화","여","20대","서울특별시","성북구","치킨","84"
"20160301","화","남","60대이상","서울특별시","송파구","치킨","33"
"20160301","화","남","10대","서울특별시","송파구","치킨","55"
"20160301","화","여","20대","서울특별시","송파구","치킨","163"
"20160301","화","남","50대","서울특별시","송파구","치킨","61"
"20160301","화","여","60대이상","서울특별시","송파구","치킨","23"
"20160301","화","여","50대","서울특별시","송파구","치킨","83"
"20160301","화","여","10대","서울특별시","송파구","치킨","47"
"20160301","화","여","30대","서울특별시","송파구","치킨","194"
"20160301","화","남","30대","서울특별시","송파구","치킨","201"
"20160301","화","여","40대","서울특별시","송파구","치킨","254"
"20160301","화","남","40대","서울특별시","송파구","치킨","129"
"20160301","화","남","20대","서울특별시","송파구","치킨","152"
"20160301","화","여","40대","서울특별시","양천구","치킨","152"
"20160301","화","남","40대","서울특별시","양천구","치킨","54"
"20160301","화","남","20대","서울특별시","양천구","치킨","62"
"20160301","화","여","50대","서울특별시","양천구","치킨","35"
"20160301","화","여","30대","서울특별시","양천구","치킨","93"
"20160301","화","남","50대","서울특별시","양천구","치킨","26"
"20160301","화","남","30대","서울특별시","양천구","치킨","70"
"20160301","화","여","60대이상","서울특별시","양천구","치킨","21"
"20160301","화","여","10대","서울특별시","양천구","치킨","30"
"20160301","화","남","60대이상","서울특별시","양천구","치킨","11"
"20160301","화","남","10대","서울특별시","양천구","치킨","48"
"20160301","화","여","20대","서울특별시","양천구","치킨","86"
"20160301","화","여","40대","서울특별시","영등포구","치킨","99"
"20160301","화","남","40대","서울특별시","영등포구","치킨","71"
"20160301","화","남","20대","서울특별시","영등포구","치킨","69"
"20160301","화","여","50대","서울특별시","영등포구","치킨","44"
"20160301","화","여","30대","서울특별시","영등포구","치킨","101"
"20160301","화","남","50대","서울특별시","영등포구","치킨","29"
"20160301","화","남","30대","서울특별시","영등포구","치킨","125"
"20160301","화","남","10대","서울특별시","영등포구","치킨","16"
"20160301","화","남","60대이상","서울특별시","영등포구","치킨","14"
"20160301","화","여","10대","서울특별시","영등포구","치킨","17"
"20160301","화","여","60대이상","서울특별시","영등포구","치킨","20"
"20160301","화","여","20대","서울특별시","영등포구","치킨","77"
"20160301","화","남","30대","서울특별시","용산구","치킨","95"
"20160301","화","여","30대","서울특별시","용산구","치킨","72"
"20160301","화","남","50대","서울특별시","용산구","치킨","31"
"20160301","화","여","20대","서울특별시","용산구","치킨","68"
"20160301","화","남","40대","서울특별시","용산구","치킨","60"
"20160301","화","남","20대","서울특별시","용산구","치킨","64"
"20160301","화","여","40대","서울특별시","용산구","치킨","82"
"20160301","화","여","60대이상","서울특별시","용산구","치킨","22"
"20160301","화","여","10대","서울특별시","용산구","치킨","26"
"20160301","화","남","60대이상","서울특별시","용산구","치킨","16"
"20160301","화","남","10대","서울특별시","용산구","치킨","10"
"20160301","화","여","50대","서울특별시","용산구","치킨","40"
"20160301","화","남","50대","서울특별시","은평구","치킨","30"
"20160301","화","여","50대","서울특별시","은평구","치킨","54"
"20160301","화","남","30대","서울특별시","은평구","치킨","134"
"20160301","화","남","40대","서울특별시","은평구","치킨","95"
"20160301","화","여","20대","서울특별시","은평구","치킨","87"
"20160301","화","여","40대","서울특별시","은평구","치킨","135"
"20160301","화","남","20대","서울특별시","은평구","치킨","86"
"20160301","화","여","10대","서울특별시","은평구","치킨","25"
"20160301","화","여","60대이상","서울특별시","은평구","치킨","22"
"20160301","화","남","10대","서울특별시","은평구","치킨","41"
"20160301","화","남","60대이상","서울특별시","은평구","치킨","18"
"20160301","화","여","30대","서울특별시","은평구","치킨","134"
"20160301","화","여","30대","서울특별시","종로구","치킨","39"
"20160301","화","남","30대","서울특별시","종로구","치킨","34"
"20160301","화","여","50대","서울특별시","종로구","치킨","20"
"20160301","화","남","20대","서울특별시","종로구","치킨","37"
"20160301","화","여","40대","서울특별시","종로구","치킨","41"
"20160301","화","여","20대","서울특별시","종로구","치킨","42"
"20160301","화","남","40대","서울특별시","종로구","치킨","33"
"20160301","화","남","60대이상","서울특별시","종로구","치킨","5"
"20160301","화","남","10대","서울특별시","종로구","치킨","10"
